Comment,Designator,Footprint,LCSC,Quantity
046809610110846+,FPC1,CONN-SMD_10P-P0.50_046809610110846,C5464531,1
CY7C65634-28LTXC,U1,QFN-28,C2951393,1
10kΩ,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
10kΩ,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
10kΩ,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
0.1μF,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
0.1μF,C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
649Ω,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
0.1μF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10μF,C8,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10kΩ,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
27 pF,C10,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
0Ω,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
12MHz 18pF,Y1,Crystal_SMD_Abracon_ABM3B-4Pin_5.0x3.2mm,,1
0.1μF,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
27 pF,C9,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10μF,C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1kΩ,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
0.1μF,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10μF,C7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
